Name,Circuit,ID,Appointing President,Appointing President Party,Year of Departure,Year of Birth,Year of Death,President when Departed,Reason for Departing,Judge Party,District,State,City,Gender,Race,Year of Appointment,Cross Appointment,Recess Appointment,Assets,ABA Rating,Congress,Unity,House Democrats,House Republicans,Senate Democrats,Senate Republicans,House Independents,Senate Independents,Net Worth,Previous Position - ssc,Previous Position - slc,Previous Position - locct,Previous Position - sjdget,Previous Position - ausa,Previous Position - usa,Previous Position - sgo,Previous Position - sg,Previous Position - ago,Previous Position - ag,Previous Position - cc,Previous Position - sp,Previous Position - mag,Previous Position - bank,Previous Position - terr,Previous Position - cab,Previous Position - asatty,Previous Position - satty,Previous Position - cabdept,Previous Position - scab,Previous Position - scabdpt,Previous Position - aag,Previous Position - indreg1,Previous Position - reg1,Previous Position - reg2,Previous Position - reg3,Previous Position - house,Previous Position - senate,Previous Position - gov,Previous Position - ssenate,Previous Position - shouse,Previous Position - mayor,Previous Position - ccoun,Previous Position - ccom,Previous Position - ada,Previous Position - da,Previous Position - lother,Previous Position - lotherl,Previous Position - lawprof,Previous Position - private,Ideology Score
"Akerman, Alexander",5,80,Coolidge,Republican,1939,1869.0,1948.0,F. Roosevelt,Retired,Republican,Southern,Florida,"Orlando, FL",Male,White,1929,Same Party,Not Recess Appt.,,Not Rated,76TH,Unified,195,237,47,48,3,1,,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Alaimo, Anthony A.",5,85,Nixon,Republican,1991,1920.0,9999.0,"Bush, 41",Retired,Republican,Southern,Georgia,"Brunswick, GA",Male,White,1971,Same Party,Not Recess Appt.,,Qualified,102ND,"Divided, Both",225,180,55,45,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3779999911785126
"Albritton, William H., III",11,22030,"Bush, 41",Republican,2004,1936.0,9999.0,"Bush, 43",Retired,Republican,Middle,Alabama,"Albertville, AL",Male,White,1991,Same Party,Not Recess Appt.,583894.0,Well-Qual.,108TH,"Divided, Both",267,165,56,44,1,0,583894.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.492000013589859
"Aldrich, Bailey",1,105,Eisenhower,Republican,1959,1907.0,1979.0,Eisenhower,Elevated,Republican,Entire State,Massachusetts,"Boston, MA",Male,White,1954,Same Party,Not Recess Appt.,,Qualified,86TH,Unified,213,221,47,48,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1340000033378601
"Aldrich, Edgar",1,115,B. Harrison,Republican,1921,1848.0,1921.0,Harding,Died,Republican,Entire State,New Hampshire,"Littleton, NH",Male,White,1891,Same Party,Not Recess Appt.,,Not Rated,67TH,Unified,156,173,37,47,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,
"Aldrich, Ann",6,100,Carter,Democrat,1995,1927.0,9999.0,Clinton,Retired,Democrat,Northern,Ohio,"Cleveland, OH",Female,White,1980,Same Party,Not Recess Appt.,112491.0,Qualified,104TH,Unified,277,158,59,41,0,0,112491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.3564999997615814
"Alesia, James H.",7,120,Reagan,Republican,1998,1934.0,9999.0,Clinton,Retired,Republican,Northern,Illinois,"Chicago, IL",Male,White,1987,Same Party,Not Recess Appt.,582347.0,Qualified,105TH,"Divided, Both",258,177,55,45,0,0,582347.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5379999876022339
"Allen, Charles M.",6,130,Nixon,Republican,1985,1916.0,2000.0,Reagan,Retired,Republican,Western,Kentucky,"Louisville, KY",Male,White,1971,Same Party,Not Recess Appt.,,Well-Qual.,99TH,"Divided, Both",225,180,55,45,0,0,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09450000524520874
"Allen, William Joshua",7,140,Cleveland (1),Democrat,1901,1828.0,1901.0,McKinley,Died,Democrat,Southern,Illinois,"Springfield, IL",Male,White,1887,Same Party,Conf. Recess Appt.,,Not Rated,56TH,"Divided, Senate",170,151,37,39,4,0,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,
"Alley, Wayne E.",10,145,Reagan,Republican,1999,1932.0,9999.0,Clinton,Retired,Republican,Western,Oklahoma,"Oklahoma City, OK",Male,White,1985,Same Party,Not Recess Appt.,160030.0,Qualified,106TH,"Divided, House",253,182,47,53,0,0,160030.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.414000004529953
"Allgood, Clarence W.",5,150,Kennedy,Democrat,1973,1902.0,1991.0,Nixon,Retired,Democrat,Northern,Alabama,"Birmingham, AL",Male,White,1961,Same Party,Conf. Recess Appt.,,Qualified,93RD,Unified,263,174,64,36,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1629999876022339
"Allred, James V.",5,156,Truman,Democrat,1959,1899.0,1959.0,Eisenhower,Died,Democrat,Southern,Texas,"Corpus Christie, TX",Male,White,1949,Same Party,Not Recess Appt.,,Not Rated,86TH,Unified,263,171,54,42,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.07400000095367432
"Alsop, Donald D.",8,165,Nixon,Republican,1992,1927.0,9999.0,"Bush, 41",Retired,Republican,Entire State,Minnesota,"St. Paul, MN",Male,White,1974,Same Party,Not Recess Appt.,,Well-Qual.,102ND,"Divided, Both",243,192,57,43,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3779999911785126
