name_original,name,songer_code,circuit_original,circuit,id,pres,appres,yearl,yearb,yeard,pleft,left,party,district,state,city,gender,race,amon,ayear,crossl,crossa,___l,___j,___char,elevate,pred,dcother,recess,appt,temp,trans,assets,liable,aba,abamin,dsenate,rsenate,dhouse,rhouse,fhouse,fsenate,drhouse,drsenate,whouse,wsenate,nrhouse,nrsenate,dsens,rsens,dummy,tperm,fsens,drsens,wsens,nrsens,osens,yeari,yearc,congress,unity,e1,e2,e3,e4,e5,e6,congresi,unityi,hdem,hrep,sdem,srep,hother,sother,yearo,e7,e8,congreso,unityo,cityb,religion,badeg,bastate,bastatus,jddeg,jdstate,jdstatus,grad1,grad2,networth,agego,service,ageon,csb,ba,bast,bapp,ls,lsst,jdpp,graddeg1,graddeg2,pssc,pslc,plocct,psjdget,pausa,pusa,psgo,psg,pago,pag,pcc,psp,pmag,pbank,pterr,pcab,pasatty,psatty,pcabdept,pscab,pscabdpt,paag,pindreg1,preg1,preg2,preg3,phouse,psenate,pgov,statecab,state2,pssenate,pshouse,pmayor,pccoun,pccom,pada,pda,plother,plotherl,plawprof,pprivate,recdate
"Davies, John G.","Davies, John G.",10944,9,Ninth,2285,Reagan,Republican,1998,1929,9999,Clinton,Retired,Republican,Central,California,"Los Angeles, CA",Male,White,June,1986,2,Same Party,,,,,3995,,Not Recess Appt.,0,0,0,1820331,,Well-Qual.,Qualified,47,53,253,182,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1986,1998,105TH,1,207,227,45,55,1,,99TH,"Divided, House",253,182,47,53,0,0,1998,,,105TH,1,5258,4,54,1,0,13,0,0,,,1820331,69,12,57,"Sydney, Australia",54,1,0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Davis, John A.","Davis, John A.",,1,First,2319,John Adams,Other,1841,1761,1847,Tyler,Resigned,Federalist,Entire State,Massachusetts,"Boston, MA",Male,White,February,1801,1,Not Two-Party,,,,,7876,,Not Recess Appt.,0,0,0,,,Not Rated,,0,0,0,0,36,13,69,18,0,0,0,0,,,1,,,,,,,1800,1841,27TH,0,102,133,28,22,6,,6TH,Unified,42,64,13,19,0,0,1841,,,27TH,0,6051,9,0,2,2,108,3,3,,,,80,40,40,"Plymouth, MA",0,2,2,108,3,3,,,,,,,,1,,,,,,,,,,,,,,,,,1,86,68,,1,,,,,1,1,,,,,,,,,1,
"Davis, Legrome D.","Davis, Legrome D.",,3,Third,30247,"Bush, 43",Republican,9999,,9999,Active Ser.,Active Service,Democrat,Eastern,Pennsylvania,,Male,African American,April,2002,3,Cross Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,107TH,"Divided, Senate",212,221,50,50,2,1,9999,,,,,,,,,,,,,,,,,7997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis, John Warren","Davis, John Warren",,3,Third,2320,Wilson,Democrat,1920,1867,1945,Wilson,Elevated,Democrat,Entire State,New Jersey,"Trenton, NJ",Male,White,May,1916,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,56,40,231,193,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1916,1920,66TH,1,191,237,47,48,7,1,64TH,Unified,231,193,56,39,8,1,1920,,,66TH,1,3325,3,126,1,1,68,1,1,5,,,53,4,49,"Elizabeth City, NC",126,1,1,68,1,1,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
"Davis, John Morgan","Davis, John Morgan",10327,3,Third,2315,L.B. Johnson,Democrat,1974,1906,1984,Nixon,Retired,Democrat,Eastern,Pennsylvania,"Philadelphia, PA",Male,White,January,1964,1,Same Party,,,,,2775,,Conf. Recess Appt.,0,0,0,,,Qualified,,67,33,258,176,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1964,1974,93RD,1,243,192,57,43,,,88TH,Unified,258,176,67,33,1,0,1974,,,93RD,1,5231,3,68,0,1,68,0,1,,,,68,10,58,"Shenendoah, PA",68,0,1,68,0,1,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,1,1/7/1964
"Davis, Andre M.","Davis, Andre M.",20439,4,Fourth,23415,Clinton,Democrat,9999,1949,9999,Active Ser.,Active Service,Democrat,Entire State,Maryland,"Baltimore, MD",Male,African American,August,1995,3,Same Party,15,16,M,,,,Not Recess Appt.,0,0,,4225,,Well-Qual.,,47,53,199,236,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1995,,,,,,,,,,104TH,"Divided, Both",203,231,48,52,1,0,9999,,,,,2010,99,68,1,1,52,0,0,0,0,4225,8050,8004,46,"Baltimore, MD",68,1,1,52,0,0,0,0,,,1,7,1,,,,1,,,,,,,,,,,,,1,1,90,91,,,,,,,,,,,,,,,,1,1,
"Davis, W. Eugene","Davis, W. Eugene",10549,5,Fifth,2335,Ford,Republican,1983,1936,9999,Reagan,Elevated,Republican,Western,Louisiana,"Lafayette, LA",Male,White,September,1976,0,Same Party,,,,,12010,,Not Recess Appt.,0,0,0,,,Well-Qual.,,61,37,291,144,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1976,1983,98TH,2,269,166,46,54,,,94TH,"Divided, Both",291,144,61,38,0,0,1983,,,98TH,2,190,99,0,2,2,87,0,1,,,,47,7,40,"Winfield, AL",0,2,2,87,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Davis, Thomas Hoyt","Davis, Thomas Hoyt",30513,5,Fifth,2330,F. Roosevelt,Democrat,1961,1892,1969,Kennedy,Retired,Democrat,Middle,Georgia,"Americus, GA",Male,White,January,1945,0,Same Party,,,,,2395,,Not Recess Appt.,0,0,0,,,Not Rated,,57,38,243,190,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1945,1961,87TH,0,263,174,64,36,,,79TH,Unified,243,190,57,38,2,1,1961,,,87TH,0,5255,3,150,0,1,108,3,3,,,,69,16,53,"Braselton, GA",150,0,1,108,3,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
"Davis, David Jackson","Davis, David Jackson",10548,5,Fifth,2305,F. Roosevelt,Democrat,1938,1878,1938,F. Roosevelt,Died,Democrat,Northern,Alabama,"Birmingham, AL",Male,White,December,1935,0,Same Party,,,,,3905,,Conf. Recess Appt.,0,0,0,,,Not Rated,,69,25,322,103,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1935,1938,75TH,0,333,89,75,17,13,4,74TH,Unified,322,103,69,25,0,2,1938,,,75TH,0,5266,15,0,2,2,99,1,1,,,,60,3,57,"Mauston, WI",0,2,2,99,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12/10/1935
"Davis, Leonard E.","Davis, Leonard E.",,5,Fifth,30254,"Bush, 43",Republican,9999,,9999,Active Ser.,Active Service,Republican,Eastern,Texas,,Male,White,May,2002,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,107TH,"Divided, Senate",212,221,50,50,2,1,9999,,,,,,,,,,,,,,,,,7997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis, Michael J.","Davis, Michael J.",20843,8,Eighth,23420,Clinton,Democrat,9999,1947,9999,Active Ser.,Active Service,Democrat,Entire State,Minnesota,"Minneapolis, MN",Male,African American,March,1994,3,Same Party,14,15,e,,,,Not Recess Appt.,0,0,,90451,,Well-Qual.,Qualified,56,44,259,176,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1994,,,,,,,,,,103RD,Unified,258,176,57,43,1,0,9999,,,,,3525,10,344,0,1,55,0,0,0,0,90451,8052,8005,47,"Cincinnati, OH",344,0,1,55,0,0,0,0,,1,1,11,,,,,,,,,,,,,,,,,,,1,188,,,,,,,,,,,,,,,1,68,1,,
"Davis, Charles B.","Davis, Charles B.",10818,8,Eighth,2300,Coolidge,Republican,1943,1877,1943,F. Roosevelt,Died,Republican,Eastern,Missouri,"St. Louis, MO",Male,White,January,1924,1,Same Party,,,,,0,,Not Recess Appt.,1,1,0,,,Not Rated,,43,51,207,225,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,1924,1943,78TH,0,222,209,57,38,4,1,68TH,Unified,207,225,43,51,3,2,1943,,,78TH,0,5854,15,192,0,0,192,0,0,,,,66,19,47,"Hannibal, MO",192,0,0,192,0,0,,,,1,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Davis, Arthur M.","Davis, Arthur M.",10945,9,Ninth,2295,Kennedy,Democrat,1963,1907,1963,Kennedy,Died,Democrat,Entire State,Arizona,"Phoenix, AZ",Male,White,August,1961,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Excep. Well-Qual.,,64,36,262,175,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1961,1963,88TH,0,258,176,67,33,1,,87TH,Unified,263,174,64,36,0,0,1963,,,88TH,0,390,4,0,2,2,34,1,1,,,,56,2,54,"Winslow, AZ",0,2,2,34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Davis, Edward Bertrand","Davis, Edward Bertrand",11113,11,Eleventh,2310,Carter,Democrat,2000,1933,9999,Clinton,Retired,Democrat,Southern,Florida,"Miami, FL",Male,White,October,1979,2,Same Party,,,,,0,,Not Recess Appt.,1,,0,569221,,Qualified,Not Qualified,58,41,277,158,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1979,2000,106TH,1,211,223,45,55,1,,96TH,Unified,277,158,59,41,0,0,2000,,,106TH,1,990,8,0,2,2,31,0,0,,,569221,67,21,46,"West Palm Beach, FL",0,2,2,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Dawson, Archie Owen","Dawson, Archie Owen",10244,2,Second,2355,Eisenhower,Republican,1964,1898,1964,L.B. Johnson,Died,Republican,Southern,New York,"New York, NY",Male,White,April,1954,1,Same Party,,,,,3690,,Not Recess Appt.,0,0,0,,,Well-Qual.,,46,48,213,221,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1954,1964,88TH,0,258,176,67,33,1,,83RD,Unified,213,221,47,48,1,1,1964,,,88TH,0,5254,2,20,0,1,20,0,1,,,,66,10,56,"Pomfret, CT",20,0,1,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Dawson, Charles I.","Dawson, Charles I.",10623,6,Sixth,2360,Coolidge,Republican,1935,1881,1969,F. Roosevelt,Resigned,Republican,Western,Kentucky,"Louisville, KY",Male,White,January,1925,1,Same Party,,,,,9870,,Not Recess Appt.,0,0,0,,,Not Rated,,40,54,183,247,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1924,1935,74TH,0,322,103,69,25,0,2,68TH,Unified,207,225,43,51,3,2,1935,,,74TH,0,5856,15,0,2,2,108,3,3,,,,54,10,44,"Logan County, KY",0,2,2,108,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,,,,,1,,,,1,
"Dawson, Robert T.","Dawson, Robert T.",,8,Eighth,30043,Clinton,Democrat,9999,1938,9999,Active Ser.,Active Service,Democrat,Western,Arkansas,"Fort Smith, AR",Male,White,April,1998,3,Same Party,,,,,,,Not Recess Appt.,,,,2543357,,Qualified,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,420,10,191,0,0,191,0,0,0,0,2543357,8061,8001,60,"El Dorado, AR",191,0,0,191,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Dawson, Kent J.","Dawson, Kent J.",,9,Ninth,30123,Clinton,Democrat,9999,1944,9999,Active Ser.,Active Service,Democrat,Entire State,Nevada,"Henderson, NV",Male,White,May,2000,3,Same Party,,,,,,,Not Recess Appt.,,,,4455000,,Qualified,Not Qualified,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,106TH,"Divided, Both",211,223,45,55,1,0,9999,,,,,4450,17,646,0,0,90,0,0,,,4455000,8055,7999,56,"Ogden, UT",646,0,0,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,80,,1,
"Day, Edward William","Day, Edward William",10116,1,First,2365,Eisenhower,Republican,1976,1901,1985,Ford,Retired,Republican,Entire State,Rhode Island,"Providence, RI",Male,White,November,1953,0,Same Party,,,,,7260,,Conf. Recess Appt.,0,0,0,,,Well-Qual.,,46,48,213,221,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1953,1976,94TH,1,291,144,61,38,,,83RD,Unified,213,221,47,48,1,1,1976,,,94TH,1,5253,4,105,0,1,39,1,1,,,,75,23,52,"Cranston, RI",105,0,1,39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,2,,,,,,,1,,,,1,11/10/1953
"Day, William L.","Day, William L.",,6,Sixth,2370,Taft,Republican,1914,1876,1936,Wilson,Resigned,Republican,Northern,Ohio,"Cleveland, OH",Male,White,May,1911,1,Same Party,,,,,16080,,Not Recess Appt.,0,0,0,,,Not Rated,,42,49,228,162,0,0,0,0,0,0,0,0,1,1,1,4,,,,,,1911,1914,63RD,0,290,127,51,44,18,1,62ND,"Divided, House",228,162,42,49,1,0,1914,,,63RD,0,3520,24,0,2,2,570,1,,,,,38,3,35,"Canton, OH",0,2,2,570,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
"Dayton, Alston Gordon","Dayton, Alston Gordon",,4,Fourth,2380,T. Roosevelt,Republican,1920,1857,1920,Wilson,Died,Republican,Northern,West Virginia,"Phillippe, WV",Male,White,March,1905,1,Same Party,,,,,5590,,Not Recess Appt.,0,0,0,,,Not Rated,,32,58,136,250,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1905,1920,66TH,1,191,237,47,48,7,1,59TH,Unified,136,250,32,58,0,0,1920,,,66TH,1,4865,7,390,0,0,108,3,3,2,,,63,15,48,"Phillippe, WV",390,0,0,108,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,
"Deady, Matthew Paul","Deady, Matthew Paul",,9,Ninth,2383,Buchanan,Other,1893,1824,1893,Cleveland (2),Died,Democrat,Entire State,Oregon,"Portland, OR",Male,White,March,1859,0,Not Two-Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,36,26,92,114,0,0,0,0,0,0,0,0,,,1,,,,,,,1859,1893,53RD,0,220,126,44,38,8,3,36TH,"Divided, House",101,113,38,26,23,2,1893,,,53RD,0,3820,2,0,2,2,108,3,3,,,,69,34,35,"Easton, PA",0,2,2,108,3,3,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,28,,,1,,,,,,,,,1,
"DeAnda, James","DeAnda, James",10552,5,Fifth,2385,Carter,Democrat,1992,1925,9999,"Bush, 41",Retired,Democrat,Southern,Texas,"Brownsville, TX",Male,Hispanic,May,1979,1,Same Party,,,,,0,,Not Recess Appt.,1,,0,1304447,,Qualified,,58,41,277,158,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1979,1992,102ND,1,267,165,56,44,1,,96TH,Unified,277,158,59,41,0,0,1992,,,102ND,1,4350,4,345,0,0,86,0,0,,,1304447,67,13,54,"Houston, TX",345,0,0,86,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Dearie, Raymond J.","Dearie, Raymond J.",10245,2,Second,2390,Reagan,Republican,9999,1944,9999,Active Ser.,Active Service,Republican,Eastern,New York,"Brooklyn, NY",Male,White,March,1986,3,Same Party,,,,,0,,Not Recess Appt.,1,,0,477233,,Qualified,Well-Qual.,47,53,253,182,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1986,,,,,,,,,,99TH,"Divided, House",253,182,47,53,0,0,9999,,,,,3276,4,346,1,1,80,0,1,,,477233,8055,8013,42,"Rockville Center, NY",346,1,1,80,0,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Deaver, Bascom Sine","Deaver, Bascom Sine",10553,5,Fifth,2395,Coolidge,Republican,1944,1882,1944,F. Roosevelt,Died,Republican,Middle,Georgia,"Macon, GA",Male,White,March,1928,1,Same Party,,,,,0,,Not Recess Appt.,0,,0,,,Not Rated,,47,48,195,237,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1928,1944,78TH,0,222,209,57,38,4,1,70TH,Unified,195,237,47,48,3,1,1944,,,78TH,0,5857,3,150,0,1,150,0,1,,,,62,16,46,"Union County, GA",150,0,1,150,0,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Debevoise, Dickinson Richards","Debevoise, Dickinson Richards",10328,3,Third,2400,Carter,Democrat,1994,1924,9999,Clinton,Retired,Democrat,Entire State,New Jersey,"Trenton, NJ",Male,White,October,1979,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,405450,,Excep. Well-Qual.,,58,41,277,158,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1979,1994,103RD,0,258,176,57,43,1,,96TH,Unified,277,158,59,41,0,0,1994,,,103RD,0,3066,9,101,1,1,20,1,1,,,405450,70,15,55,"Orange, NJ",101,1,1,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,91,,,,,,,,,,,,,,,,,,1,
"Decker, Bernard Martin","Decker, Bernard Martin",10720,7,Seventh,2408,Kennedy,Democrat,1981,1904,1993,Reagan,Retired,Republican,Northern,Illinois,"Chicago, IL",Male,White,December,1962,0,Cross Party,,,,,0,,Conf. Recess Appt.,1,,0,,,Excep. Well-Qual.,,67,33,258,176,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1962,1981,97TH,2,243,192,47,53,,,87TH,Unified,263,174,64,36,0,0,1981,,,97TH,2,5251,7,42,0,0,39,1,1,,,,77,19,58,"Highland Park, IL",42,0,0,39,1,1,,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,,1,12/12/1962
"DeHaven, John Jefferson","DeHaven, John Jefferson",,9,Ninth,2410,McKinley,Republican,1913,1845,1913,Taft,Died,Republican,Northern,California,"San Francisco, CA",Male,White,June,1897,0,Same Party,,,,,10019,,Not Recess Appt.,0,0,0,,,Not Rated,,34,46,134,206,1,0,0,0,0,0,0,0,1,1,1,,,,,,,1897,1912,62ND,2,228,162,42,49,1,,55TH,Unified,134,206,34,46,16,10,1912,,,62ND,2,2575,1,0,2,2,108,3,3,,,,68,16,52,"St. Joseph, MO",0,2,2,108,3,3,,,1,1,,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,1,
"Delahay, Mark W.","Delahay, Mark W.",,9,Ninth,2412,Lincoln,Republican,1873,1817,1879,Grant,Resigned,Republican,Entire State,Kansas,"Kansas City, KS",Male,White,October,1863,0,Same Party,,,,,20250,,Conf. Recess Appt.,0,0,0,,,Not Rated,,36,36,75,102,0,0,0,0,0,0,0,0,,,1,,,,,,,1863,1873,43RD,0,88,203,19,54,,,38TH,Unified,80,103,12,39,0,0,1873,,,43RD,0,2085,10,0,2,2,0,2,2,,,,56,10,46,"Talbot County, MD",0,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,88,,,,,,,,,,,1,10/6/1863
"Delehant, John Wayne","Delehant, John Wayne",10819,8,Eighth,2415,F. Roosevelt,Democrat,1957,1890,1972,Eisenhower,Retired,Democrat,Entire State,Nebraska,"Lincoln, NE",Male,White,February,1942,1,Same Party,,,,,10160,,Not Recess Appt.,0,0,0,,,Not Rated,,66,28,267,162,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1942,1957,85TH,1,234,201,49,47,,,77TH,Unified,267,162,66,28,6,2,1957,,,85TH,1,5250,4,234,0,1,234,0,1,2,,,67,15,52,"Goodland, KS",234,0,1,234,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"DeMascio, Robert E.","DeMascio, Robert E.",10624,6,Sixth,2420,Nixon,Republican,1988,1923,1999,Reagan,Retired,Republican,Eastern,Michigan,"Detroit, MI",Male,White,July,1971,0,Same Party,,,,,7520,,Not Recess Appt.,0,0,0,,,Qualified,,54,44,255,180,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1971,1988,100TH,1,258,177,55,45,,,92ND,"Divided, Both",225,180,55,45,0,0,1988,,,100TH,1,6098,4,0,2,2,97,0,0,,,,65,17,48,"Corapolis, PA",0,2,2,97,0,0,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"DeMent, Ira, III","DeMent, Ira, III",11177,11,Eleventh,22490,"Bush, 41",Republican,2002,1931,9999,"Bush, 43",Retired,Republican,Middle,Alabama,"Montgomery, AL",Male,White,March,1992,2,Same Party,,,,,,,Not Recess Appt.,0,0,,1462870,,Qualified,,57,43,268,167,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1992,2002,107TH,3,212,221,50,50,2,1,102ND,"Divided, Both",267,165,56,44,1,0,2002,,,107TH,3,110,10,1,0,0,1,0,0,,,1462870,71,10,61,"Birmingham, AL",1,0,0,1,0,0,,,,,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,230,,,,,,1,,,,,1,
"Denison, Arthur Carter","Denison, Arthur Carter",,6,Sixth,2425,Taft,Republican,1911,1861,1947,Taft,Elevated,Republican,Western,Michigan,"Grand Rapids, MI",Male,White,January,1910,0,Same Party,,,,,6750,,Not Recess Appt.,0,0,0,,,Not Rated,,32,59,172,219,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1910,1911,62ND,2,228,162,42,49,1,,61ST,Unified,172,219,32,59,0,0,1911,,,62ND,2,2230,8,54,0,0,0,2,2,,,,50,1,49,"Grand Rapids, MI",54,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Denney, Robert V.","Denney, Robert V.",10820,8,Eighth,2440,Nixon,Republican,1981,1916,1981,Reagan,Retired,Republican,Entire State,Nebraska,"Omaha, NE",Male,White,March,1971,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Well-Qual.,,54,44,255,180,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1971,1981,97TH,2,243,192,47,53,,,92ND,"Divided, Both",225,180,55,45,0,0,1981,,,97TH,2,1518,7,0,2,2,234,0,1,,,,65,10,55,"Council Bluffs, IA",0,2,2,234,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,43,,,1,,,,,,,,,,,1,,,,1,
"Der-Yeghiayan, Samuel","Der-Yeghiayan, Samuel",,7,Seventh,30343,"Bush, 43",Republican,9999,1952,9999,Active Ser.,Active Service,Republican,Northern,Illinois,,Male,White,July,2003,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8047,7996,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeVane, Dozier Adolphus","DeVane, Dozier Adolphus",10554,5,Fifth,2445,F. Roosevelt,Democrat,1958,1883,1963,Eisenhower,Retired,Democrat,No. & So.,Florida,"Orlando, FL",Male,White,April,1943,1,Same Party,,,,,18380,,Not Recess Appt.,0,1,1,,,Not Rated,,58,38,222,209,0,0,0,0,0,0,0,0,2,0,1,1,,,,,,1943,1958,85TH,1,234,201,49,47,,,78TH,Unified,222,209,57,38,4,1,1958,,,85TH,1,5310,7,0,2,2,141,1,1,,,,75,15,60,"Lakeland, FL",0,2,2,141,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,221,,,,,,183,,,,,,,,1,,,,1,
"Devine, Shane","Devine, Shane",10117,1,First,2450,Carter,Democrat,1992,1926,1999,"Bush, 41",Retired,Democrat,Entire State,New Hampshire,"Concord, NH",Male,White,June,1978,1,Same Party,,,,,890,,Not Recess Appt.,0,0,0,,,Qualified,,61,38,292,143,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1978,1992,102ND,1,267,165,56,44,1,,95TH,Unified,292,143,62,38,0,0,1992,,,102ND,1,2947,4,673,0,0,7,1,1,,,,66,14,52,"Manchester, NH",673,0,0,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Devitt, Edward James","Devitt, Edward James",10821,8,Eighth,2455,Eisenhower,Republican,1981,1911,1992,Reagan,Retired,Republican,Entire State,Minnesota,"Minneapolis, MN",Male,White,December,1954,0,Same Party,,,,,5980,,Conf. Recess Appt.,0,0,0,,,9,,48,47,232,203,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1954,1981,97TH,2,243,192,47,53,,,83RD,Unified,213,221,47,48,1,1,1981,,,97TH,2,2380,4,288,1,0,288,1,0,,,,70,27,43,"St. Paul, MN",288,1,0,288,1,0,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,1,12/10/1954
"Dewey, Charles Almon","Dewey, Charles Almon",10822,8,Eighth,2460,Coolidge,Republican,1949,1877,1958,Truman,Retired,Republican,Southern,Iowa,"Ottumwa, IA",Male,White,January,1928,1,Same Party,,,,,0,,Not Recess Appt.,1,1,0,,,Not Rated,,47,48,195,237,0,0,0,0,0,0,0,0,1,1,1,3,,,,,,1928,1949,81ST,0,263,171,54,42,1,,70TH,Unified,195,237,47,48,3,1,1949,,,81ST,0,5858,10,0,2,2,44,0,0,,,,72,21,51,"Washington, IA",0,2,2,44,0,0,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
"Diamond, Gustave","Diamond, Gustave",10329,3,Third,2465,Carter,Democrat,1994,1928,9999,Clinton,Retired,Democrat,Western,Pennsylvania,"Pittsburgh, PA",Male,White,May,1978,0,Same Party,,,,,2665,,Not Recess Appt.,0,0,0,,,Qualified,,61,38,292,143,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1978,1994,103RD,0,258,176,57,43,1,,95TH,Unified,292,143,62,38,0,0,1994,,,103RD,0,5248,33,28,1,1,29,0,1,,,,66,16,50,"Burgettstown, PA",28,1,1,29,0,1,,,,,,,1,1,,,,,,,,,,,,,,,,,1,91,,,,,,,,,,,,,,,,,,1,
"Diamond, Paul Steven","Diamond, Paul Steven",,3,Third,30344,"Bush, 43",Republican,9999,1953,9999,Active Ser.,Active Service,Republican,Eastern,Pennsylvania,,Male,White,June,2004,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8046,7995,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
