name_original,name,songer_code,circuit_original,circuit,id,pres,appres,yearl,yearb,yeard,pleft,left,party,district,state,city,gender,race,amon,ayear,crossl,crossa,___l,___j,___char,elevate,pred,dcother,recess,appt,temp,trans,assets,liable,aba,abamin,dsenate,rsenate,dhouse,rhouse,fhouse,fsenate,drhouse,drsenate,whouse,wsenate,nrhouse,nrsenate,dsens,rsens,dummy,tperm,fsens,drsens,wsens,nrsens,osens,yeari,yearc,congress,unity,e1,e2,e3,e4,e5,e6,congresi,unityi,hdem,hrep,sdem,srep,hother,sother,yearo,e7,e8,congreso,unityo,cityb,religion,badeg,bastate,bastatus,jddeg,jdstate,jdstatus,grad1,grad2,networth,agego,service,ageon,csb,ba,bast,bapp,ls,lsst,jdpp,graddeg1,graddeg2,pssc,pslc,plocct,psjdget,pausa,pusa,psgo,psg,pago,pag,pcc,psp,pmag,pbank,pterr,pcab,pasatty,psatty,pcabdept,pscab,pscabdpt,paag,pindreg1,preg1,preg2,preg3,phouse,psenate,pgov,statecab,state2,pssenate,pshouse,pmayor,pccoun,pccom,pada,pda,plother,plotherl,plawprof,pprivate,recdate
"Adams, Henry Lee","Adams, Henry Lee",11186,11,Eleventh,23230,Clinton,Democrat,9999,1945,9999,Active Ser.,Active Service,Democrat,Middle,Florida,"Jacksonville, FL",Male,African American,November,1993,3,Same Party,16,17,e,,,,Not Recess Appt.,0,,,207571,,Qualified,,57,43,259,176,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1993,,,,,,,,,,103RD,Unified,258,176,57,43,1,0,9999,,,,,940,8,158,0,0,116,1,1,,,207571,8054,8006,48,"Jacksonville, FL",158,0,0,116,1,1,,,,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,
"Adams, George","Adams, George",,13,Ind. District,49,Jackson,Other,1838,1784,1844,Van Buren,Resigned,Democrat,No. & So.,Mississippi,"Jackson, MS",Male,White,January,1836,0,Not Two-Party,,,,,2812,,Not Recess Appt.,0,0,0,,,Not Rated,,27,0,145,0,0,0,0,0,98,25,0,0,,,1,,,,,,,1836,1838,25TH,0,108,107,30,18,24,4,24TH,Unified,145,98,27,25,0,0,1838,,,25TH,0,4650,7,0,2,2,108,3,3,,,,54,2,52,"Lynchburg, VA",0,2,2,108,3,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,1,
"Adelman, Lynn S.","Adelman, Lynn S.",,7,Seventh,30074,Clinton,Democrat,9999,1939,9999,Active Ser.,Active Service,Democrat,Eastern,Wisconsin,"Waterford, WI",Male,White,November,1997,3,Same Party,,,,,,,Not Recess Appt.,,,,2242000,,Qualified,,,,,,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,4960,5,111,1,1,20,1,1,0,0,2242000,8060,8002,58,"Milwaukee, WI",111,1,1,20,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,56,,1,
"Adkins, Jesse Corcoran","Adkins, Jesse Corcoran",11201,12,D.C.,55,Hoover,Republican,1946,1879,1955,Truman,Retired,Republican,Entire State,D.C.,District of Columbia,Male,White,June,1930,1,Same Party,,,,,22690,,Not Recess Appt.,0,0,0,,,Not Rated,,39,56,163,267,0,0,0,0,0,0,0,0,,,1,,,,,,,1930,1946,79TH,0,243,190,57,38,2,1,71ST,Unified,163,267,39,56,1,1,1946,,,79TH,0,4240,13,0,2,2,34,0,1,10,,,67,16,51,"Knoxville, TN",0,2,2,34,0,1,10,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Adler, Simon Louis","Adler, Simon Louis",10202,2,Second,60,Coolidge,Republican,1934,1867,1934,F. Roosevelt,Died,Republican,Western,New York,"Rochester, NY",Male,White,May,1927,1,Same Party,,,,,0,,Conf. Recess Appt.,1,,0,,,Not Rated,,47,48,195,237,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1927,1934,73RD,0,313,117,59,36,5,1,70TH,Unified,195,237,47,48,3,1,1934,,,73RD,0,5289,5,22,0,1,0,2,2,,,,67,7,60,"Seneca Falls, NY",22,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,5/19/1927
"Africk, Lance M.","Africk, Lance M.",,5,Fifth,30229,"Bush, 43",Republican,9999,,9999,Active Ser.,Active Service,Republican,Eastern,Louisiana,,Male,White,April,2002,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,107TH,"Divided, Senate",212,221,50,50,2,1,9999,,,,,,,,,,,,,,,,,7997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilar, Robert P.","Aguilar, Robert P.",10901,9,Ninth,65,Carter,Democrat,1996,1931,9999,Clinton,Retired,Democrat,Northern,California,"San Francisco, CA",Male,Hispanic,June,1980,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,94300,,Qualified,Not Qualified,58,41,277,158,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1980,1996,104TH,1,203,231,48,52,1,,96TH,Unified,277,158,59,41,0,0,1996,,,104TH,1,5382,4,11,0,0,253,0,0,,,94300,65,16,49,"Madera, CA",11,0,0,253,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Aiken, Ann L.","Aiken, Ann L.",,9,Ninth,30073,Clinton,Democrat,9999,1951,9999,Active Ser.,Active Service,Democrat,Entire State,Oregon,"Eugene, OR",Female,White,January,1998,3,Same Party,,,,,,,Not Recess Appt.,,,,564657,,Qualified,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,3770,99,67,0,0,67,0,0,2,0,564657,8048,8001,47,"Salem, OR",67,0,0,67,0,0,2,0,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,1,24,,1,
"Ainsworth, Robert A., Jr.","Ainsworth, Robert A., Jr.",10501,5,Fifth,70,Kennedy,Democrat,1966,1910,1981,L.B. Johnson,Elevated,Democrat,Eastern,Louisiana,"New Orleans, LA",Male,White,September,1961,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,0,,Well-Qual.,,64,36,262,175,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1961,1966,89TH,0,295,140,68,32,,,87TH,Unified,263,174,64,36,0,0,1966,,,89TH,0,2440,4,148,0,1,148,0,1,,,0,56,5,51,"Gulfport, MS",148,0,1,148,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
"Akerman, Alexander","Akerman, Alexander",10502,5,Fifth,80,Coolidge,Republican,1939,1869,1948,F. Roosevelt,Retired,Republican,Southern,Florida,"Orlando, FL",Male,White,February,1929,1,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,39,56,163,267,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1928,1939,76TH,0,262,169,69,23,4,4,70TH,Unified,195,237,47,48,3,1,1939,,,76TH,0,5847,5,0,2,2,108,3,3,,,,70,10,60,"Elberton, GA",0,2,2,108,3,3,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
